,character,stroke
0,一,1
1,丁,2
2,丂,2
3,七,2
4,丄,2
5,丅,2
6,丆,2
7,万,3
8,丈,3
9,三,3
10,上,3
11,下,3
12,丌,3
13,不,4
14,与,3
15,丏,4
16,丐,4
17,丑,4
18,丒,4
19,专,4
20,且,5
21,丕,5
22,世,5
23,丗,5
24,丘,5
25,丙,5
26,业,5
27,丛,5
28,东,5
29,丝,5
30,丞,6
31,丟,6
32,丠,6
33,両,6
34,丢,6
35,丣,7
36,两,7
37,严,7
38,並,8
39,丧,8
40,丨,1
41,丩,2
42,个,3
43,丫,3
44,丬,3
45,中,4
46,丮,4
47,丯,4
48,丰,4
49,丱,5
50,串,7
51,丳,8
52,临,9
53,丵,10
54,丶,1
55,丷,2
56,丸,3
57,丹,4
58,为,4
59,主,5
60,丼,5
61,丽,7
62,举,9
63,丿,1
64,乀,1
65,乁,1
66,乂,2
67,乃,2
68,乄,2
69,久,3
70,乆,3
71,乇,3
72,么,3
73,义,3
74,乊,3
75,之,3
76,乌,4
77,乍,5
78,乎,5
79,乏,4
80,乐,5
81,乑,6
82,乒,6
83,乓,6
84,乔,6
85,乕,7
86,乖,8
87,乗,9
88,乘,10
89,乙,1
90,乚,1
91,乛,1
92,乜,2
93,九,2
94,乞,3
95,也,3
96,习,3
97,乡,3
98,乢,4
99,乣,4
100,乤,4
101,乥,4
102,书,4
103,乧,5
104,乨,6
105,乩,6
106,乪,6
107,乫,6
108,乬,5
109,乭,6
110,乮,6
111,乯,6
112,买,6
113,乱,7
114,乲,7
115,乳,8
116,乴,8
117,乵,8
118,乶,8
119,乷,8
120,乸,8
121,乹,9
122,乺,9
123,乻,9
124,乼,9
125,乽,9
126,乾,11
127,乿,11
128,亀,11
129,亁,12
130,亂,13
131,亃,13
132,亄,13
133,亅,1
134,了,2
135,亇,3
136,予,4
137,争,6
138,亊,7
139,事,8
140,二,2
141,亍,3
142,于,3
143,亏,3
144,亐,3
145,云,4
146,互,4
147,亓,4
148,五,4
149,井,4
150,亖,4
151,亗,5
152,亘,6
153,亙,6
154,亚,6
155,些,8
156,亜,7
157,亝,8
158,亞,8
159,亟,8
160,亠,2
161,亡,3
162,亢,4
163,亣,4
164,交,6
165,亥,6
166,亦,6
167,产,6
168,亨,7
169,亩,7
170,亪,7
171,享,8
172,京,8
173,亭,9
174,亮,9
175,亯,9
176,亰,9
177,亱,9
178,亲,9
179,亳,10
180,亴,12
181,亵,12
182,亶,13
183,亷,13
184,亸,16
185,亹,22
186,人,2
187,亻,2
188,亼,3
189,亽,3
190,亾,3
191,亿,3
192,什,4
193,仁,4
194,仂,4
195,仃,4
196,仄,4
197,仅,4
198,仆,4
199,仇,4
200,仈,4
201,仉,4
202,今,4
203,介,4
204,仌,4
205,仍,4
206,从,4
207,仏,4
208,仐,4
209,仑,4
210,仒,4
211,仓,4
212,仔,5
213,仕,5
214,他,5
215,仗,5
216,付,5
217,仙,5
218,仚,5
219,仛,5
220,仜,5
221,仝,5
222,仞,5
223,仟,5
224,仠,5
225,仡,5
226,仢,5
227,代,5
228,令,5
229,以,4
230,仦,5
231,仧,5
232,仨,5
233,仩,5
234,仪,5
235,仫,5
236,们,5
237,仭,5
238,仮,6
239,仯,6
240,仰,6
241,仱,6
242,仲,6
243,仳,6
244,仴,6
245,仵,6
246,件,6
247,价,6
248,仸,6
249,仹,6
250,仺,5
251,任,6
252,仼,6
253,份,6
254,仾,6
255,仿,6
256,伀,6
257,企,6
258,伂,6
259,伃,6
260,伄,6
261,伅,6
262,伆,6
263,伇,6
264,伈,6
265,伉,6
266,伊,6
267,伋,5
268,伌,6
269,伍,6
270,伎,6
271,伏,6
272,伐,6
273,休,6
274,伒,6
275,伓,6
276,伔,6
277,伕,6
278,伖,6
279,众,6
280,优,6
281,伙,6
282,会,6
283,伛,6
284,伜,6
285,伝,6
286,伞,6
287,伟,6
288,传,6
289,伡,6
290,伢,6
291,伣,6
292,伤,6
293,伥,6
294,伦,6
295,伧,6
296,伨,6
297,伩,6
298,伪,6
299,伫,6
300,伬,6
301,伭,7
302,伮,7
303,伯,7
304,估,7
305,伱,7
306,伲,7
307,伳,7
308,伴,7
309,伵,7
310,伶,7
311,伷,7
312,伸,7
313,伹,7
314,伺,7
315,伻,7
316,似,6
317,伽,7
318,伾,7
319,伿,7
320,佀,7
321,佁,7
322,佂,7
323,佃,7
324,佄,7
325,佅,7
326,但,7
327,佇,7
328,佈,7
329,佉,7
330,佊,7
331,佋,7
332,佌,8
333,位,7
334,低,7
335,住,7
336,佐,7
337,佑,7
338,佒,7
339,体,7
340,佔,7
341,何,7
342,佖,7
343,佗,7
344,佘,7
345,余,7
346,佚,7
347,佛,7
348,作,7
349,佝,7
350,佞,7
351,佟,7
352,你,7
353,佡,7
354,佢,6
355,佣,7
356,佤,6
357,佥,7
358,佦,7
359,佧,7
360,佨,7
361,佩,8
362,佪,8
363,佫,8
364,佬,8
365,佭,8
366,佮,8
367,佯,8
368,佰,8
369,佱,8
370,佲,8
371,佳,8
372,佴,8
373,併,8
374,佶,8
375,佷,8
376,佸,8
377,佹,8
378,佺,8
379,佻,8
380,佼,8
381,佽,8
382,佾,8
383,使,8
384,侀,8
385,侁,8
386,侂,8
387,侃,8
388,侄,8
389,侅,8
390,來,8
391,侇,8
392,侈,8
393,侉,8
394,侊,8
395,例,8
396,侌,8
397,侍,8
398,侎,8
399,侏,8
400,侐,8
401,侑,8
402,侒,8
403,侓,8
404,侔,8
405,侕,8
406,侖,8
407,侗,8
408,侘,8
409,侙,8
410,侚,8
411,供,8
412,侜,8
413,依,8
414,侞,8
415,侟,8
416,侠,8
417,価,8
418,侢,8
419,侣,8
420,侤,8
421,侥,8
422,侦,8
423,侧,8
424,侨,8
425,侩,8
426,侪,8
427,侫,8
428,侬,8
429,侭,8
430,侮,9
431,侯,9
432,侰,9
433,侱,9
434,侲,9
435,侳,9
436,侴,9
437,侵,9
438,侶,9
439,侷,9
440,侸,9
441,侹,8
442,侺,9
443,侻,9
444,侼,9
445,侽,9
446,侾,9
447,便,9
448,俀,9
449,俁,9
450,係,9
451,促,9
452,俄,9
453,俅,9
454,俆,9
455,俇,9
456,俈,9
457,俉,9
458,俊,9
459,俋,9
460,俌,9
461,俍,9
462,俎,9
463,俏,9
464,俐,9
465,俑,9
466,俒,9
467,俓,9
468,俔,9
469,俕,9
470,俖,9
471,俗,9
472,俘,9
473,俙,9
474,俚,9
475,俛,9
476,俜,9
477,保,9
478,俞,9
479,俟,9
480,俠,9
481,信,9
482,俢,8
483,俣,9
484,俤,9
485,俥,9
486,俦,9
487,俧,9
488,俨,9
489,俩,9
490,俪,9
491,俫,9
492,俬,9
493,俭,9
494,修,9
495,俯,10
496,俰,10
497,俱,10
498,俲,10
499,俳,10
500,俴,10
501,俵,10
502,俶,10
503,俷,10
504,俸,10
505,俹,10
506,俺,10
507,俻,10
508,俼,10
509,俽,10
510,俾,10
511,俿,10
512,倀,10
513,倁,10
514,倂,10
515,倃,10
516,倄,10
517,倅,10
518,倆,10
519,倇,10
520,倈,10
521,倉,10
522,倊,10
523,個,10
524,倌,10
525,倍,10
526,倎,10
527,倏,10
528,倐,10
529,們,10
530,倒,10
531,倓,10
532,倔,10
533,倕,10
534,倖,10
535,倗,10
536,倘,10
537,候,10
538,倚,10
539,倛,10
540,倜,10
541,倝,10
542,倞,10
543,借,10
544,倠,10
545,倡,10
546,倢,10
547,倣,10
548,値,10
549,倥,10
550,倦,10
551,倧,10
552,倨,10
553,倩,10
554,倪,10
555,倫,10
556,倬,10
557,倭,10
558,倮,10
559,倯,10
560,倰,10
561,倱,10
562,倲,10
563,倳,10
564,倴,10
565,倵,10
566,倶,10
567,倷,10
568,倸,10
569,倹,10
570,债,10
571,倻,10
572,值,10
573,倽,10
574,倾,10
575,倿,10
576,偀,10
577,偁,11
578,偂,11
579,偃,11
580,偄,11
581,偅,11
582,偆,11
583,假,11
584,偈,11
585,偉,11
586,偊,11
587,偋,11
588,偌,10
589,偍,11
590,偎,11
591,偏,11
592,偐,11
593,偑,11
594,偒,11
595,偓,11
596,偔,11
597,偕,11
598,偖,10
599,偗,11
600,偘,11
601,偙,11
602,做,11
603,偛,11
604,停,11
605,偝,11
606,偞,11
607,偟,11
608,偠,11
609,偡,11
610,偢,11
611,偣,11
612,偤,11
613,健,10
614,偦,11
615,偧,11
616,偨,12
617,偩,11
618,偪,11
619,偫,11
620,偬,11
621,偭,11
622,偮,11
623,偯,11
624,偰,11
625,偱,11
626,偲,11
627,偳,11
628,側,11
629,偵,11
630,偶,11
631,偷,11
632,偸,11
633,偹,11
634,偺,11
635,偻,11
636,偼,11
637,偽,11
638,偾,11
639,偿,11
